Ticket_Number,Subject,Category,Priority,Status,Date_Raised,Date_Resolved,Resolution_Time_Hours,SLA_Target_Hours,Resolved_Within_SLA
TKT-0001,Poor hospitality service on matchday,Complaint,Medium,Closed,2026-01-01 12:15:00,2026-01-02 21:56:36,33.7,24,FALSE
TKT-0002,Payment failed but charged,Payment,Medium,Closed,2026-01-02 08:05:00,2026-01-04 11:49:09,51.7,24,FALSE
TKT-0003,Question about membership benefits,General Enquiry,Medium,Closed,2026-01-01 16:12:00,2026-01-02 17:45:11,25.6,24,FALSE
TKT-0004,Invoice discrepancy,Payment,Medium,Closed,2026-01-09 08:48:00,2026-01-09 18:17:21,9.5,24,TRUE
TKT-0005,Wrong package tier booked,Booking Issue,Low,Closed,2026-01-09 10:13:00,2026-01-11 04:00:27,41.8,24,FALSE
TKT-0006,Booking not showing in account,Booking Issue,Medium,Closed,2026-01-12 17:16:00,2026-01-13 20:01:05,26.8,24,FALSE
TKT-0007,Staff behaviour complaint,Complaint,Medium,Closed,2026-01-04 14:05:00,2026-01-04 20:02:22,6.0,24,TRUE
TKT-0008,Refund not received,Payment,Urgent,Closed,2026-01-23 09:02:00,2026-01-24 06:52:43,21.8,24,TRUE
TKT-0009,Wrong item delivered,Merchandise,Medium,Closed,2026-01-08 09:24:00,2026-01-09 12:02:43,26.6,24,FALSE
TKT-0010,Booking not showing in account,Booking Issue,Medium,Closed,2026-02-22 12:44:00,2026-02-24 03:50:40,39.1,24,FALSE
TKT-0011,Poor hospitality service on matchday,Complaint,Medium,Closed,2026-02-18 11:10:00,2026-02-19 02:50:20,15.7,24,TRUE
TKT-0012,Wrong package tier booked,Booking Issue,Medium,Closed,2026-02-27 08:14:00,2026-02-28 10:14:45,26.0,24,FALSE
TKT-0013,Wrong item delivered,Merchandise,Medium,Closed,2026-02-03 11:58:00,2026-02-05 08:38:38,44.7,24,FALSE
TKT-0014,Refund not received,Payment,Low,Closed,2026-02-13 18:29:00,2026-02-14 10:43:50,16.2,24,TRUE
TKT-0015,Staff behaviour complaint,Complaint,Medium,Closed,2026-02-24 16:34:00,2026-02-25 15:25:18,22.9,24,TRUE
TKT-0016,Unable to confirm hospitality booking,Booking Issue,High,Closed,2026-02-05 16:31:00,2026-02-07 06:47:10,38.3,24,FALSE
TKT-0017,Wrong package tier booked,Booking Issue,Medium,Closed,2026-02-05 18:10:00,2026-02-06 21:07:21,27.0,24,FALSE
TKT-0018,Poor hospitality service on matchday,Complaint,Medium,Closed,2026-02-15 16:16:00,2026-02-16 05:20:54,13.1,24,TRUE
TKT-0019,Wrong item delivered,Merchandise,Low,Closed,2026-02-04 18:56:00,2026-02-05 10:39:10,15.7,24,TRUE
TKT-0020,Size exchange request,Merchandise,High,Closed,2026-03-15 08:46:00,2026-03-16 01:17:51,16.5,24,TRUE
TKT-0021,Seating issue during event,Complaint,Low,Closed,2026-03-17 09:55:00,2026-03-17 16:56:27,7.0,24,TRUE
TKT-0022,Poor hospitality service on matchday,Complaint,Medium,Closed,2026-03-12 10:34:00,2026-03-12 17:32:57,7.0,24,TRUE
TKT-0023,Wrong item delivered,Merchandise,Low,Closed,2026-03-16 08:07:00,2026-03-17 17:07:51,33.0,24,FALSE
TKT-0024,Question about membership benefits,General Enquiry,Urgent,Closed,2026-03-19 09:05:00,2026-03-19 19:54:50,10.8,24,TRUE
TKT-0025,Refund not received,Payment,Medium,Closed,2026-03-18 10:08:00,2026-03-18 17:35:33,7.5,24,TRUE
TKT-0026,Seating issue during event,Complaint,Medium,Closed,2026-03-20 14:13:00,2026-03-20 15:39:52,1.4,24,TRUE
TKT-0027,Stadium access query,General Enquiry,Medium,Closed,2026-03-23 12:25:00,2026-03-24 18:08:46,29.7,24,FALSE
TKT-0028,Wrong item delivered,Merchandise,Medium,Closed,2026-03-08 11:04:00,2026-03-09 04:42:32,17.6,24,TRUE
TKT-0029,Unable to confirm hospitality booking,Booking Issue,Low,Closed,2026-03-08 17:14:00,2026-03-09 23:55:37,30.7,24,FALSE
TKT-0030,Refund not received,Payment,Medium,Closed,2026-04-11 09:32:00,2026-04-11 22:56:52,13.4,24,TRUE
TKT-0031,Staff behaviour complaint,Complaint,Low,Closed,2026-04-07 16:08:00,2026-04-08 03:06:58,11.0,24,TRUE
TKT-0032,Unable to confirm hospitality booking,Booking Issue,Medium,Closed,2026-04-16 14:12:00,2026-04-16 15:15:56,1.1,24,TRUE
TKT-0033,Unable to confirm hospitality booking,Booking Issue,Medium,Closed,2026-04-12 14:26:00,2026-04-12 18:10:52,3.7,24,TRUE
TKT-0034,Payment failed but charged,Payment,Medium,Closed,2026-04-11 09:15:00,2026-04-12 00:11:41,14.9,24,TRUE
TKT-0035,Wrong package tier booked,Booking Issue,High,Closed,2026-04-05 14:11:00,2026-04-06 02:23:31,12.2,24,TRUE
TKT-0036,Poor hospitality service on matchday,Complaint,Urgent,Closed,2026-04-18 09:03:00,2026-04-19 02:24:51,17.4,24,TRUE
TKT-0037,Question about membership benefits,General Enquiry,Low,Closed,2026-04-25 11:10:00,2026-04-25 18:35:20,7.4,24,TRUE
TKT-0038,How to upgrade package tier,General Enquiry,Medium,Closed,2026-04-01 14:16:00,2026-04-02 06:59:06,16.7,24,TRUE
TKT-0039,Poor hospitality service on matchday,Complaint,High,Closed,2026-05-05 11:18:00,2026-05-05 21:36:53,10.3,24,TRUE
TKT-0040,Stadium access query,General Enquiry,Urgent,Closed,2026-05-02 08:37:00,2026-05-02 20:08:48,11.5,24,TRUE
TKT-0041,Payment failed but charged,Payment,Medium,Closed,2026-05-17 10:03:00,2026-05-17 21:50:00,11.8,24,TRUE
TKT-0042,Booking not showing in account,Booking Issue,Low,Closed,2026-05-22 11:25:00,2026-05-22 20:58:04,9.6,24,TRUE
TKT-0043,Seating issue during event,Complaint,Medium,Closed,2026-05-20 08:39:00,2026-05-21 00:22:54,15.7,24,TRUE
TKT-0044,Wrong item delivered,Merchandise,Low,Closed,2026-05-09 11:42:00,2026-05-10 00:56:40,13.2,24,TRUE
TKT-0045,Unable to confirm hospitality booking,Booking Issue,Medium,Closed,2026-05-05 18:41:00,2026-05-06 03:28:15,8.8,24,TRUE
TKT-0046,Poor hospitality service on matchday,Complaint,Medium,Closed,2026-05-19 09:04:00,2026-05-19 22:47:52,13.7,24,TRUE
TKT-0047,Wrong item delivered,Merchandise,Medium,Closed,2026-05-05 13:56:00,2026-05-06 02:59:29,13.1,24,TRUE
TKT-0048,Poor hospitality service on matchday,Complaint,Medium,Closed,2026-05-18 12:39:00,2026-05-19 00:03:39,11.4,24,TRUE
TKT-0049,Refund not received,Payment,Low,Closed,2026-05-18 12:59:00,2026-05-18 17:28:27,4.5,24,TRUE
TKT-0050,Merchandise order delayed,Merchandise,Medium,Closed,2026-05-04 16:09:00,2026-05-04 17:02:46,0.9,24,TRUE
TKT-0051,Wrong item delivered,Merchandise,Low,Closed,2026-06-07 18:40:00,2026-06-08 03:55:07,9.3,24,TRUE
TKT-0052,Wrong package tier booked,Booking Issue,High,Closed,2026-06-14 12:02:00,2026-06-14 16:03:00,4.0,24,TRUE
TKT-0053,Stadium access query,General Enquiry,Low,Closed,2026-06-21 12:10:00,2026-06-21 18:56:48,6.8,24,TRUE
TKT-0054,Wrong package tier booked,Booking Issue,Medium,Closed,2026-06-03 10:34:00,2026-06-03 13:34:57,3.0,24,TRUE
TKT-0055,Wrong package tier booked,Booking Issue,Low,Closed,2026-06-05 14:08:00,2026-06-06 00:01:49,9.9,24,TRUE
TKT-0056,Size exchange request,Merchandise,High,Closed,2026-06-08 18:06:00,2026-06-09 01:52:46,7.8,24,TRUE
TKT-0057,Payment failed but charged,Payment,High,Closed,2026-06-14 17:47:00,2026-06-15 04:52:55,11.1,24,TRUE
TKT-0058,Merchandise order delayed,Merchandise,High,Closed,2026-06-01 10:47:00,2026-06-01 23:46:41,13.0,24,TRUE
TKT-0059,Question about membership benefits,General Enquiry,High,Closed,2026-06-24 11:17:00,2026-06-24 20:55:40,9.6,24,TRUE
TKT-0060,How to upgrade package tier,General Enquiry,Medium,Resolved,2026-06-08 11:52:00,2026-06-08 22:59:16,11.1,24,TRUE
TKT-0061,Merchandise order delayed,Merchandise,High,Resolved,2026-06-26 11:14:00,2026-06-26 20:16:27,9.0,24,TRUE
